"articles/6ccd2522a8cd4e20ac3ba861bf7eebb8/_trickle/_button/text/","Continuar"
"articles/6ccd2522a8cd4e20ac3ba861bf7eebb8/_trickle/_button/startText/","Iniciar"
"articles/6ccd2522a8cd4e20ac3ba861bf7eebb8/_trickle/_button/finalText/","Terminar"
"articles/6ccd2522a8cd4e20ac3ba861bf7eebb8/_smvWiseScoring/assessprocessing/scores/default_smv_decvar/title/","Sim"
"articles/6ccd2522a8cd4e20ac3ba861bf7eebb8/_mentor/_text/","Agradecemos sua opinião!"
"articles/6ccd2522a8cd4e20ac3ba861bf7eebb8/_mentor/_graphic/alt/","Personagem se sentando numa pose de yoga"
"articles/6ccd2522a8cd4e20ac3ba861bf7eebb8/_mentor/labels/mentorDialog/","Mentor"
"articles/78ca3e41d16b44f0bb76972597f4dba4/_trickle/_button/text/","Continuar"
"articles/78ca3e41d16b44f0bb76972597f4dba4/_trickle/_button/startText/","Iniciar"
"articles/78ca3e41d16b44f0bb76972597f4dba4/_trickle/_button/finalText/","Terminar"
